Total,offer
100.0,0.3
100.0,0.13
100.0,0.49
100.0,0.5
100.0,0.42
100.0,0.3
100.0,0.4
100.0,0.5
100.0,0.22
100.0,0.41
100.0,0.5
100.0,0.52
100.0,0.5
100.0,0.5
100.0,0.33
100.0,0.5
100.0,0.0
100.0,0.5
100.0,0.38
100.0,0.3
100.0,0.33
100.0,0.4
100.0,0.5
100.0,0.49
100.0,0.45
100.0,0.61
100.0,0.23
100.0,0.39
100.0,0.08
100.0,0.1
100.0,0.35
100.0,0.24
100.0,0.4
100.0,0.48
100.0,0.5
100.0,0.49
100.0,0.5
100.0,0.01
100.0,0.4
100.0,0.25
100.0,0.5
100.0,0.49
100.0,0.25
100.0,0.21
100.0,0.4
100.0,0.4
100.0,0.01
100.0,0.25
100.0,0.0
100.0,0.15
100.0,0.2
100.0,0.05
100.0,0.01
100.0,0.51
100.0,0.3
100.0,0.4
100.0,0.25
100.0,0.28
100.0,0.4
100.0,0.21
100.0,0.3
100.0,0.5
100.0,0.47
100.0,0.5
100.0,0.3
100.0,0.5
100.0,0.24
100.0,0.35
100.0,0.28
100.0,0.52
100.0,0.0
100.0,0.11
